ID,UPlCodigo
1,UPZ100
2,UPZ83
3,UPZ107
4,UPZ101
5,UPZ91
6,UPZ81
7,UPZ108
8,UPZ75
9,UPZ22
10,UPZ114
11,UPZ103
12,UPZ105
13,UPZ88
14,UPZ27
15,UPZ72
16,UPZ15
17,UPZ16
18,UPZ21
19,UPZ89
20,UPZ106
21,UPZ86
22,UPZ82
23,UPZ99
24,UPZ109
25,UPZ90
26,UPZ33
27,UPZ111
28,UPZ102
29,UPZ45
30,UPZ93
31,UPZ37
32,UPZ49
33,UPZ19
34,UPZ24
35,UPZ23
36,UPZ110
37,UPZ104
38,UPZ31
39,UPZ68
40,UPZ64
41,UPZ71
42,UPZ29
43,UPZ76
44,UPZ3
45,UPZ80
46,UPZ67
47,UPZ63
48,UPZ55
49,UPZ51
50,UPZ60
51,UPZ56
52,UPZ65
53,UPZ2
54,UPZ17
55,UPZ18
56,UPZ26
57,UPZ115
58,UPZ50
59,UPZ60
60,UPZ20
61,UPZ79
62,UPZ12
63,UPZ10
64,UPZ59
65,UPZ58
66,UPZ43
67,UPZ47
68,UPZ48
69,UPZ113
70,UPZ44
71,UPZ13
72,UPZ70
73,UPZ36
74,UPZ66
75,UPZ57
76,UPZ52
77,UPZ52
78,UPZ11
79,UPZ14
80,UPZ73
81,UPZ74
82,UPZ25
83,UPZ97
84,UPZ98
85,UPZ96
86,UPZ92
87,UPZ94
88,UPZ9
89,UPZ28
90,UPZ30
91,UPZ116
92,UPZ35
93,UPZ38
94,UPZ41
95,UPZ40
96,UPZ34
97,UPZ84
98,UPZ85
99,UPZ32
100,UPZ95
101,UPZ87
102,UPZ1
103,UPZ46
104,UPZ112
105,UPZ78
106,UPZ117
107,UPZ77
108,UPZ54
109,UPZ39
110,UPZ62
111,UPZ53
112,UPZ69
113,UPZ61
114,UPZ42
